codigo_ibge;uf;municipio;ano;cabecas
1100015;RO;Alta Floresta D'Oeste;2021;473192
1100023;RO;Ariquemes;2021;509210
1100031;RO;Cabixi;2021;124604
1100049;RO;Cacoal;2021;437032
1100056;RO;Cerejeiras;2021;82558
1100064;RO;Colorado do Oeste;2021;267070
1100072;RO;Corumbiara;2021;308673
1100080;RO;Costa Marques;2021;265041
1100098;RO;Espigão D'Oeste;2021;383370
1100106;RO;Guajará-Mirim;2021;141386
1100114;RO;Jaru;2021;534672
1100122;RO;Ji-Paraná;2021;402959
1100130;RO;Machadinho D'Oeste;2021;416642
1100148;RO;Nova Brasilândia D'Oeste;2021;226852
1100155;RO;Ouro Preto do Oeste;2021;361116
1100189;RO;Pimenta Bueno;2021;318608
1100205;RO;Porto Velho;2021;1353947
1100254;RO;Presidente Médici;2021;358271
1100262;RO;Rio Crespo;2021;123859
1100288;RO;Rolim de Moura;2021;238493
1100296;RO;Santa Luzia D'Oeste;2021;182047
1100304;RO;Vilhena;2021;131267
1100320;RO;São Miguel do Guaporé;2021;262056
1100338;RO;Nova Mamoré;2021;807820
1100346;RO;Alvorada D'Oeste;2021;268615
1100379;RO;Alto Alegre dos Parecis;2021;223815
1100403;RO;Alto Paraíso;2021;351664
1100452;RO;Buritis;2021;539404
1100502;RO;Novo Horizonte do Oeste;2021;151819
1100601;RO;Cacaulândia;2021;281523
1100700;RO;Campo Novo de Rondônia;2021;441603
1100809;RO;Candeias do Jamari;2021;286074
1100908;RO;Castanheiras;2021;113913
1100924;RO;Chupinguaia;2021;331334
1100940;RO;Cujubim;2021;221345
1101005;RO;Governador Jorge Teixeira;2021;289137
1101104;RO;Itapuã do Oeste;2021;96389
1101203;RO;Ministro Andreazza;2021;133658
1101302;RO;Mirante da Serra;2021;127089
1101401;RO;Monte Negro;2021;325178
1101435;RO;Nova União;2021;146152
1101450;RO;Parecis;2021;179388
1101468;RO;Pimenteiras do Oeste;2021;125967
1101476;RO;Primavera de Rondônia;2021;79701
1101484;RO;São Felipe D'Oeste;2021;114002
1101492;RO;São Francisco do Guaporé;2021;460585
1101500;RO;Seringueiras;2021;225651
1101559;RO;Teixeirópolis;2021;103846
1101609;RO;Theobroma;2021;272953
1101708;RO;Urupá;2021;176362
1101757;RO;Vale do Anari;2021;159975
1101807;RO;Vale do Paraíso;2021;172414
1200013;AC;Acrelândia;2021;250589
1200054;AC;Assis Brasil;2021;58266
1200104;AC;Brasiléia;2021;314001
1200138;AC;Bujari;2021;309017
1200179;AC;Capixaba;2021;212303
1200203;AC;Cruzeiro do Sul;2021;34319
1200252;AC;Epitaciolândia;2021;158055
1200302;AC;Feijó;2021;169600
1200328;AC;Jordão;2021;9596
1200336;AC;Mâncio Lima;2021;17448
1200344;AC;Manoel Urbano;2021;75736
1200351;AC;Marechal Thaumaturgo;2021;14947
1200385;AC;Plácido de Castro;2021;283313
1200393;AC;Porto Walter;2021;15243
1200401;AC;Rio Branco;2021;532713
1200427;AC;Rodrigues Alves;2021;20263
1200435;AC;Santa Rosa do Purus;2021;12261
1200450;AC;Senador Guiomard;2021;361801
1200500;AC;Sena Madureira;2021;385448
1200609;AC;Tarauacá;2021;171897
1200708;AC;Xapuri;2021;300689
1200807;AC;Porto Acre;2021;339778
1300029;AM;Alvarães;2021;504
1300060;AM;Amaturá;2021;1225
1300086;AM;Anamã;2021;452
1300102;AM;Anori;2021;1000
1300144;AM;Apuí;2021;168000
1300201;AM;Atalaia do Norte;2021;90
1300300;AM;Autazes;2021;50013
1300409;AM;Barcelos;2021;29
1300508;AM;Barreirinha;2021;29589
1300607;AM;Benjamin Constant;2021;565
1300631;AM;Beruri;2021;1126
1300680;AM;Boa Vista do Ramos;2021;13076
1300706;AM;Boca do Acre;2021;235000
1300805;AM;Borba;2021;2974
1300839;AM;Caapiranga;2021;1876
1300904;AM;Canutama;2021;26047
1301001;AM;Carauari;2021;4677
1301100;AM;Careiro;2021;17100
1301159;AM;Careiro da Várzea;2021;46994
1301209;AM;Coari;2021;2000
1301308;AM;Codajás;2021;2024
1301407;AM;Eirunepé;2021;11689
1301506;AM;Envira;2021;28007
1301605;AM;Fonte Boa;2021;2546
1301654;AM;Guajará;2021;34434
1301704;AM;Humaitá;2021;27800
1301803;AM;Ipixuna;2021;18041
1301852;AM;Iranduba;2021;7021
1301902;AM;Itacoatiara;2021;47204
1301951;AM;Itamarati;2021;950
1302009;AM;Itapiranga;2021;3902
1302108;AM;Japurá;2021;932
