ano;uf;municipio;codigo_ibge;diagnostico;casos;rebanho
2021;AC;Acrelândia;1200013;Actinomicose (notificação Sif);1;250589
2021;AC;Acrelândia;1200013;Cisticercose Bovina;1;250589
2021;AC;Acrelândia;1200013;Fígado Amarelo;2;250589
2021;AC;Brasiléia;1200104;Actinomicose (notificação Sif);3;314001
2021;AC;Brasiléia;1200104;Cisticercose Bovina;1;314001
2021;AC;Brasiléia;1200104;Fígado Amarelo;13;314001
2021;AC;Bujari;1200138;Actinomicose (notificação Sif);4;309017
2021;AC;Bujari;1200138;Fígado Amarelo;44;309017
2021;AC;Bujari;1200138;Miíase Cutânea;2;309017
2021;AC;Bujari;1200138;Tuberculose (notificação Sif);2;309017
2021;AC;Capixaba;1200179;Actinomicose (notificação Sif);1;212303
2021;AC;Capixaba;1200179;Fígado Amarelo;11;212303
2021;AC;Capixaba;1200179;Miíase Cutânea;2;212303
2021;AC;Epitaciolândia;1200252;Actinomicose (notificação Sif);2;158055
2021;AC;Epitaciolândia;1200252;Fígado Amarelo;19;158055
2021;AC;Feijó;1200302;Fígado Amarelo;3;169600
2021;AC;Manoel Urbano;1200344;Fígado Amarelo;3;75736
2021;AC;Plácido de Castro;1200385;Actinomicose (notificação Sif);3;283313
2021;AC;Plácido de Castro;1200385;Fígado Amarelo;13;283313
2021;AC;Plácido de Castro;1200385;Leucose Enzoótica Bovina (notificação Sif);1;283313
2021;AC;Porto Acre;1200807;Actinomicose (notificação Sif);2;339778
2021;AC;Porto Acre;1200807;Fígado Amarelo;18;339778
2021;AC;Rio Branco;1200401;Cisticercose Bovina;1;532713
2021;AC;Rio Branco;1200401;Equinococose/hidatidose (notificaçao Sif);1;532713
2021;AC;Rio Branco;1200401;Fígado Amarelo;24;532713
2021;AC;Sena Madureira;1200500;Actinomicose (notificação Sif);1;385448
2021;AC;Sena Madureira;1200500;Cisticercose Bovina;1;385448
2021;AC;Sena Madureira;1200500;Equinococose/hidatidose (notificaçao Sif);1;385448
2021;AC;Sena Madureira;1200500;Fígado Amarelo;15;385448
2021;AC;Senador Guiomard;1200450;Actinomicose (notificação Sif);1;361801
2021;AC;Senador Guiomard;1200450;Cisticercose Bovina;3;361801
2021;AC;Senador Guiomard;1200450;Equinococose/hidatidose (notificaçao Sif);1;361801
2021;AC;Senador Guiomard;1200450;Fígado Amarelo;31;361801
2021;AC;Senador Guiomard;1200450;Miíase Cutânea;1;361801
2021;AC;Xapuri;1200708;Actinomicose (notificação Sif);1;300689
2021;AC;Xapuri;1200708;Fígado Amarelo;33;300689
2021;AC;Xapuri;1200708;Miíase Cutânea;1;300689
2021;BA;Alcobaça;2900801;Actinobacilose (ruminantes);2;41824
2021;BA;Alcobaça;2900801;Aspiracao de Alimentos;1;41824
2021;BA;Alcobaça;2900801;Cisticercose Bovina;14;41824
2021;BA;Alcobaça;2900801;Fígado Amarelo;11;41824
2021;BA;Alcobaça;2900801;Teleangiectasia Maculosa;1;41824
2021;BA;Amélia Rodrigues;2901106;Cisticercose Bovina;1;9513
2021;BA;Angical;2901403;Hidatidose;1;116848
2021;BA;Anguera;2901502;Cisticercose Bovina;9;8731
2021;BA;Anguera;2901502;Fígado Amarelo;1;8731
2021;BA;Antônio Cardoso;2901700;Cisticercose Bovina;5;14572
2021;BA;Antônio Cardoso;2901700;Fígado Amarelo;1;14572
2021;BA;Antônio Cardoso;2901700;Cisticercose Bovina;1;14572
2021;BA;Baianópolis;2902500;Fígado Amarelo;1;48127
2021;BA;Barreiras;2903201;Cisticercose Bovina;2;92522
2021;BA;Barrocas;2903276;Miíase Cutânea;1;6420
2021;BA;Boa Vista do Tupim;2903805;Cisticercose Bovina;1;62452
