ano;mes;uf;especie;abatidos
2021;1;AC;BOVINOS;12484
2021;1;AM;BOVINOS;2579
2021;1;BA;BOVINOS;15841
2021;1;DF;BOVINOS;42
2021;1;ES;BOVINOS;4230
2021;1;GO;BOVINOS;139123
2021;1;MA;BOVINOS;22191
2021;1;MG;BOVINOS;120982
2021;1;MS;BOVINOS;245257
2021;1;MT;BOVINOS;310164
2021;1;PA;BOVINOS;152274
2021;1;PI;BOVINOS;80
2021;1;PR;BOVINOS;54139
2021;1;RJ;BOVINOS;2169
2021;1;RO;BOVINOS;138817
2021;1;RR;BOVINOS;1356
2021;1;RS;BOVINOS;45599
2021;1;SC;BOVINOS;7454
2021;1;SP;BOVINOS;159343
2021;1;TO;BOVINOS;59457
2021;2;AC;BOVINOS;20318
2021;2;AL;BOVINOS;17
2021;2;AM;BOVINOS;2532
2021;2;BA;BOVINOS;17170
2021;2;DF;BOVINOS;32
2021;2;ES;BOVINOS;5178
2021;2;GO;BOVINOS;179574
2021;2;MA;BOVINOS;27184
2021;2;MG;BOVINOS;139491
2021;2;MS;BOVINOS;219450
2021;2;MT;BOVINOS;320546
2021;2;PA;BOVINOS;166277
2021;2;PI;BOVINOS;260
2021;2;PR;BOVINOS;53332
2021;2;RJ;BOVINOS;2989
2021;2;RO;BOVINOS;152931
2021;2;RR;BOVINOS;1484
2021;2;RS;BOVINOS;43042
2021;2;SC;BOVINOS;9393
2021;2;SP;BOVINOS;158267
2021;2;TO;BOVINOS;59705
2021;3;AC;BOVINOS;19523
2021;3;AM;BOVINOS;2882
2021;3;BA;BOVINOS;17858
2021;3;DF;BOVINOS;32
2021;3;ES;BOVINOS;4460
2021;3;GO;BOVINOS;166604
2021;3;MA;BOVINOS;32487
2021;3;MG;BOVINOS;147283
2021;3;MS;BOVINOS;259157
2021;3;MT;BOVINOS;331134
2021;3;PA;BOVINOS;163651
2021;3;PB;BOVINOS;23
2021;3;PI;BOVINOS;229
2021;3;PR;BOVINOS;61727
2021;3;RJ;BOVINOS;3858
2021;3;RO;BOVINOS;165563
2021;3;RR;BOVINOS;1475
2021;3;RS;BOVINOS;46306
2021;3;SC;BOVINOS;10348
2021;3;SP;BOVINOS;159552
2021;3;TO;BOVINOS;67630
2021;4;AC;BOVINOS;21274
2021;4;AM;BOVINOS;2743
2021;4;BA;BOVINOS;15964
2021;4;DF;BOVINOS;35
2021;4;ES;BOVINOS;4750
2021;4;GO;BOVINOS;198241
2021;4;MA;BOVINOS;31730
2021;4;MG;BOVINOS;162388
2021;4;MS;BOVINOS;256762
2021;4;MT;BOVINOS;306168
2021;4;PA;BOVINOS;156233
2021;4;PI;BOVINOS;240
2021;4;PR;BOVINOS;60310
2021;4;RJ;BOVINOS;2924
2021;4;RO;BOVINOS;158912
2021;4;RR;BOVINOS;1652
2021;4;RS;BOVINOS;40070
2021;4;SC;BOVINOS;9579
2021;4;SP;BOVINOS;154288
2021;4;TO;BOVINOS;69459
2021;5;AC;BOVINOS;23146
2021;5;AM;BOVINOS;3260
2021;5;AP;BOVINOS;1
2021;5;BA;BOVINOS;18379
2021;5;DF;BOVINOS;45
2021;5;ES;BOVINOS;6112
2021;5;GO;BOVINOS;217894
2021;5;MA;BOVINOS;31132
2021;5;MG;BOVINOS;178634
2021;5;MS;BOVINOS;274464
2021;5;MT;BOVINOS;363476
2021;5;PA;BOVINOS;164763
2021;5;PI;BOVINOS;140
2021;5;PR;BOVINOS;63502
2021;5;RJ;BOVINOS;2942
2021;5;RO;BOVINOS;167109
2021;5;RR;BOVINOS;1693
2021;5;RS;BOVINOS;35364
2021;5;SC;BOVINOS;9362
2021;5;SE;BOVINOS;41
2021;5;SP;BOVINOS;183270
2021;5;TO;BOVINOS;72303
2021;6;AC;BOVINOS;22767
2021;6;AM;BOVINOS;3188
2021;6;BA;BOVINOS;20768
2021;6;DF;BOVINOS;44
2021;6;ES;BOVINOS;5335
