ano;mes;uf;especie;diagnostico;casos
2021;1;AC;BOVINOS;Abscesso (Mamífero);18
2021;1;AC;BOVINOS;Adenite;146
2021;1;AC;BOVINOS;Aderência de Pleura (seca);3
2021;1;AC;BOVINOS;Aderência de Pleura (úmida);2
2021;1;AC;BOVINOS;Afecções Cardio Respiratorias;3
2021;1;AC;BOVINOS;Alterações Musculares;1
2021;1;AC;BOVINOS;Alterações Musculares (estresse/fadiga);3
2021;1;AC;BOVINOS;Artrite (uma Articulação);4
2021;1;AC;BOVINOS;Bursite;1
2021;1;AC;BOVINOS;Hipertrofia;11
2021;1;AC;BOVINOS;Linfadenite;52
2021;1;AC;BOVINOS;Magreza;2
2021;1;AC;BOVINOS;Metrite;1
2021;1;AC;BOVINOS;Nefrite;1
2021;1;BA;BOVINOS;Alteração Linfática Inespecífica;1
2021;1;BA;BOVINOS;Cisticercose Bovina;67
2021;1;BA;BOVINOS;Fratura (após A Morte);2
2021;1;BA;BOVINOS;Lesão Traumática;2
2021;1;BA;BOVINOS;Lesões Tuberculósicas;1
2021;1;BA;BOVINOS;Magreza;1
2021;1;ES;BOVINOS;Cisticercose Calcificada;88
2021;1;ES;BOVINOS;Cisticercose Viva;6
2021;1;ES;BOVINOS;Tuberculose (notificação Sif);4
2021;1;ES;BOVINOS;Tuberculose Caseosa;5
2021;1;GO;BOVINOS;Abscesso;47
2021;1;GO;BOVINOS;Abscesso (Mamífero);8
2021;1;GO;BOVINOS;Actinobacilose (ruminantes);1
2021;1;GO;BOVINOS;Actinomicose (notificação Sif);12
2021;1;GO;BOVINOS;Aderencias;17
2021;1;GO;BOVINOS;Aderência de Pleura (seca);12
2021;1;GO;BOVINOS;Afecções Cardio Respiratorias;2
2021;1;GO;BOVINOS;Alteração Linfática Inespecífica;22
2021;1;GO;BOVINOS;Cisticercose Bovina;67
2021;1;GO;BOVINOS;Cisticercose Calcificada;23
2021;1;GO;BOVINOS;Cisticercose Viva;5
2021;1;GO;BOVINOS;Contusão;2
2021;1;GO;BOVINOS;Estresse/fadiga (no Ante Mortem);3
2021;1;GO;BOVINOS;Fasciolose Hepática (notificação Sif);1
2021;1;GO;BOVINOS;Fígado Amarelo;7
2021;1;GO;BOVINOS;Hidatidose;2
2021;1;GO;BOVINOS;Ictericia;1
2021;1;GO;BOVINOS;Lesão Inflamatória;7
2021;1;GO;BOVINOS;Lesão Traumática;80
2021;1;GO;BOVINOS;Lesão Traumática (detectada no Ante Mortem);2
2021;1;GO;BOVINOS;Lesões Tuberculósicas;11
2021;1;GO;BOVINOS;Linfadenite;22
2021;1;GO;BOVINOS;Magreza;1
2021;1;GO;BOVINOS;Mamite;3
2021;1;GO;BOVINOS;Nefrite;1
2021;1;GO;BOVINOS;Neoplasia;2
2021;1;GO;BOVINOS;Parto Recente (fêmea);1
2021;1;GO;BOVINOS;Pleurite;1
2021;1;GO;BOVINOS;Pneumonia;12
2021;1;GO;BOVINOS;Tuberculose;4
2021;1;GO;BOVINOS;Tuberculose (notificação Sif);5
2021;1;GO;BOVINOS;Tuberculose Calcificada;1
2021;1;MA;BOVINOS;Hipertrofia Nod Linf;2
2021;1;MA;BOVINOS;Septicemia;2
2021;1;MG;BOVINOS;Abscesso;29
2021;1;MG;BOVINOS;Abscesso (Mamífero);6
2021;1;MG;BOVINOS;Actinobacilose (ruminantes);1
2021;1;MG;BOVINOS;Actinomicose (notificação Sif);35
2021;1;MG;BOVINOS;Aderencias;12
2021;1;MG;BOVINOS;Aderência de Pleura (seca);29
2021;1;MG;BOVINOS;Aderência de Pleura (úmida);1
2021;1;MG;BOVINOS;Alteração Linfática Inespecífica;6
2021;1;MG;BOVINOS;Caquexia;1
2021;1;MG;BOVINOS;Cisticercose;70
2021;1;MG;BOVINOS;Cisticercose Bovina;116
2021;1;MG;BOVINOS;Cisticercose Calcificada;51
2021;1;MG;BOVINOS;Cisticercose Viva;15
2021;1;MG;BOVINOS;Contusão;52
2021;1;MG;BOVINOS;Equinococose/hidatidose (notificaçao Sif);1
2021;1;MG;BOVINOS;Fasciolose;1
2021;1;MG;BOVINOS;Fasciolose Hepática (notificação Sif);1
2021;1;MG;BOVINOS;Fratura (após A Morte);5
2021;1;MG;BOVINOS;Gordura Amarela;7
2021;1;MG;BOVINOS;Hepatite;1
2021;1;MG;BOVINOS;Ictericia;1
2021;1;MG;BOVINOS;Lesão Inflamatória;36
2021;1;MG;BOVINOS;Lesão Traumática;31
2021;1;MG;BOVINOS;Lesão Traumática (detectada Ante Mortem);5
2021;1;MG;BOVINOS;Lesões Tuberculósicas;18
2021;1;MG;BOVINOS;Linfadenite;57
2021;1;MG;BOVINOS;Mamite;10
2021;1;MG;BOVINOS;Miopatia;2
2021;1;MG;BOVINOS;Neoplasia;4
2021;1;MG;BOVINOS;Outros Corpos Ou Causas Repugnantes;4
2021;1;MG;BOVINOS;Pneumonia;4
2021;1;MG;BOVINOS;Tuberculose;5
2021;1;MG;BOVINOS;Tuberculose (já Notificado);9
2021;1;MG;BOVINOS;Tuberculose (notificação Sif);40
2021;1;MS;BOVINOS;Actinomicose (já Notificado);19
2021;1;MS;BOVINOS;Actinomicose (notificação Sif);1
2021;1;MS;BOVINOS;Alteração Linfática Inespecífica;4
2021;1;MS;BOVINOS;Cisticercose Bovina;20
2021;1;MS;BOVINOS;Cisticercose Calcificada;222
2021;1;MS;BOVINOS;Cisticercose Viva;25
2021;1;MS;BOVINOS;Equinococose/hidatidose (notificaçao Sif);5
